Timestamp,AGV_ID,Velocita,Temp_Batteria,Carico,Errori,Cicli,Stato
2024-04-01 08:00,AGV-01,1.8,32,850,0,12,OK
2024-04-01 08:00,AGV-02,1.6,35,920,0,11,OK
2024-04-01 08:00,AGV-03,1.9,31,780,0,13,OK
2024-04-01 09:00,AGV-01,1.7,34,900,0,14,OK
2024-04-01 09:00,AGV-02,0.4,58,920,3,8,ANOMALIA
2024-04-01 09:00,AGV-03,1.8,32,810,0,15,OK
2024-04-01 10:00,AGV-01,1.9,33,870,0,16,OK
2024-04-01 10:00,AGV-02,0.2,71,920,7,4,CRITICO
2024-04-01 10:00,AGV-03,1.7,30,800,1,14,OK
2024-04-01 11:00,AGV-01,0.3,45,850,2,9,ANOMALIA
2024-04-01 11:00,AGV-02,0.0,85,920,12,0,CRITICO
2024-04-01 11:00,AGV-03,1.8,31,790,0,17,OK
